SUBJECT,PREDICATE,OBJECT,,
:TI_47,:hasStartTime,"""1647033621""^^xsd:integer",,"#""2022-03-11T15:20:21Z""^^xsd:dateTimeStamp ;"
:TI_47,:hasStopTime,"""1647033645""^^xsd:integer",,"#""2022-03-11T15:20:45Z""^^xsd:dateTimeStamp ;"
#Scenario c2: ID07 interrupts ID08,,,,
#ID07 starts talking; INTERRUPTS ID08,,,,
:A48,a,:Talking,,
:A48,:activityWithin,:Lab1,,
:A48,:occurredAt,:LabStation4,,
:A48,:performedDuring,:TI_48,,
:A48,:performedBy,:ID07,,
:TI_48,a,:TimeInterval,,
:TI_48,:hasStartTime,"""1647033623""^^xsd:integer",,"#""2022-03-11T15:20:23Z""^^xsd:dateTimeStamp ;"
:TI_48,:hasStopTime,"""1647033630""^^xsd:integer",,"#""2022-03-11T15:20:30Z""^^xsd:dateTimeStamp ;"
#Scenario c1: ID08 does not interrupt ID07,,,,
#ID08 starts talking; DOES NOT interrupt ID07,,,,
:A50,a,:Talking,,
:A50,:activityWithin,:Lab1,,
:A50,:occurredAt,:LabStation4,,
:A50,:performedDuring,:TI_50,,
:A50,:performedBy,:ID08,,
:TI_50,a,:TimeInterval,,
:TI_50,:hasStartTime,"""1647033645""^^xsd:integer",,"#""2022-03-11T15:20:45Z""^^xsd:dateTimeStamp ;"
:TI_50,:hasStopTime,"""1647033655""^^xsd:integer",,"#""2022-03-11T15:20:55Z""^^xsd:dateTimeStamp ;"
#Scenario c3: ID10 interrupts ID08 but ignored since different group; could have been just picked up by microphone,,,,
#ID10 starts talking; DOES NOT interrupt ID07 or ID08 since different group,,,,
:A51,a,:Talking,,
:A51,:activityWithin,:Lab1,,
:A51,:occurredAt,:LabStation4,,
:A51,:performedDuring,:TI_51,,
:A51,:performedBy,:ID10 ,,
:TI_51,a,:TimeInterval,,
:TI_51,:hasStartTime,"""1647033652""^^xsd:integer",,"#""2022-03-11T15:20:52Z""^^xsd:dateTimeStamp ;"
:TI_51,:hasStopTime,"""1647033659""^^xsd:integer",,"#""2022-03-11T15:20:59Z""^^xsd:dateTimeStamp ;"
#Expected results for scenarios above; determine % of other group member's talking intervals that are interrupted by the student,,,,
"#for ID07, other members of the group (ID08) had 5 talking intervals, 3 of which were interrupted by ID07, so result should be 0.6",,,,
"#for ID08, other members of the group (ID07) had 5 talking intervals, 2 of which were interrupted by ID08, so result should be 0.4",,,,
"#for ID10, other members of the group (ID09) had no talking intervals, so result should be 0",,,,
,,,,
#Expected results for group contribution scenarios (uses existing data),,,,
"#For group 4 (ID07 & ID08), 28 total counted activities; ID08 did 15 (53.6%); ID07 did 13 (46.4%)",,,,
"#For group 3 (ID05 & ID06), ID05 did not do activities; ID06 did a TurningOffCircuitPower activities, so querying for ID06 will return 100%",,,,
"#for group 5 (ID09 & ID10), 12 counted activities; ID09 did 5 (41.7%); ID10 did 7 (58.3%)",,,,
"#group 1 (ID01 & ID02) did not have activities; group 2 (ID03 & ID04) only did activities related to antistatic band and mat, which are not counted as contributing activities",,,,
,,,,
,,,,
